"","suburb","state","blurb"
"821","Wimbledon Heights","VIC","Wimbledon Heights is a small town in the centre of Phillip Island in Victoria, Australia. It consists of a small residential block surrounded by farmland and is located north of the Phillip Island Grand Prix track. At the 2006 census, Wimbledon Heights had a population of 386."
"822","Heidelberg","VIC","Heidelberg is a suburb of Melbourne, Australia, 18 km north-east of Melbourne's central business district. Its local government area is the City of Banyule. At the 2016 Census, Heidelberg had a population of 6,225."
"823","Caulfield East","VIC","Caulfield East is a suburb in Melbourne, Victoria, Australia, 10 km south-east from Melbourne's central business district. Its local government area is the City of Glen Eira."
"824","Seymour","VIC","Seymour (/ˈsiːmɔːr/, locally [ˈsiːmoː])[2] is a historic railway township in Mitchell Shire in the state of Victoria, Australia and is located 104 kilometres (65 mi) north of Melbourne. At the 2016 census, Seymour had a population of 6,327.[1] The township services the surrounding agricultural industries (primarily equine, cattle, sheep and wine) as well as the nearby military base of Puckapunyal (population 1,176[3]), which is an important training centre for the Australian Army. Other important sectors of employment in Seymour include retail, light engineering, agricultural services support, medical services, and education."
"825","Kialla","VIC","Kialla is a bounded rural locality of the City of Greater Shepparton local government area in the Goulburn Valley, Victoria, Australia. At the 2006 census, Kialla and surrounding area had a population of 4,511.[1]"
"826","Bacchus Marsh","VIC","Bacchus Marsh is a rural centre and regional locality in Victoria, Australia located approximately 57 kilometres (40 mi) north west of the state capital Melbourne and 15 kilometres (9 mi) west of Melton at a near equidistance to the major cities of Melbourne, Ballarat and Geelong. The population of the Bacchus Marsh urban area was 20,992[1] at June 2016. Bacchus Marsh is the largest rural area in the local government area of Shire of Moorabool."
"827","Geelong","VIC","Geelong (/dʒɪˈlɒŋ/[3][4]) is a port city located on Corio Bay and the Barwon River, in the state of Victoria, Australia, 75 kilometres (47 mi) south-west of the state capital, Melbourne. It is the second largest Victorian city, with an estimated urban population of 192,393[1] as at June 2016, having grown 2.1 percent since June 2015.[1]"
"828","Rochester","VIC","Rochester is a small town in country Victoria, Australia. It is located 180 km north of Melbourne with a mixture of rural and semi-rural communities on the northern Campaspe River, between Bendigo and the Murray River port of Echuca. At the 2011 census, Rochester had a population of 3,106.[1]"
"829","Kirkstall","VIC","Kirkstall, located in southwest Victoria, Australia 5 kilometres from Koroit, is in the heart of the traditional lands of the local Aboriginal people; the Gunditjmara. On Monday February 25, 1861, Kirkstall was officially proclaimed a township by the then Governor of the Colony of Victoria, Sir Henry Barkly.[1] On February 25, 2011, the town celebrated its 150th anniversary.[2]"
"830","Lavers Hill","VIC","Lavers Hill is a town in Victoria, Australia, located 48 kilometres (30 mi) inland from Port Campbell and 48 kilometres (30 mi) from Apollo Bay. The township is located approximately 205 kilometres (127 mi) south-west of the state capital, Melbourne. At the 2016 census, Lavers Hill had a population of 78.[1]"
"831","Box Hill","VIC","Box Hill is a suburb of Melbourne, Victoria, Australia, 14 kilometres (8.7 mi) east of Melbourne's Central Business District.[2] in the local government area of the City of Whitehorse. At the 2011 Census, Box Hill had a population of 9,672."
"832","Grovedale","VIC","Grovedale is a mainly residential southern suburb of Geelong, Victoria, Australia."
"833","Glen Waverley","VIC","Glen Waverley is a suburb in Melbourne, Victoria, Australia, 21 km south-east of Melbourne's central business district[2] in the local government area of the City of Monash. At the 2016 Census, Glen Waverley had a population of 40,327.[1]"
"834","Golden Square","VIC","Golden Square is a suburb of Bendigo in Victoria, Australia."
"835","Stratford","VIC","Stratford is a town on the Avon River in Victoria, Australia, 232 kilometres (144 mi) east of Melbourne on the Princes Highway in Shire of Wellington. At the 2006 census, Stratford had a population of 1950. The town services the local regional community and travellers on the Princes Highway. Stratford's principal industries are dairying, sheep, cattle and horse breeding and vegetable crops. The town has numerous coffee shops and cafes, a cellar door for a local winery, Design Gallery, model railway shop, a pub, parks and playgrounds for car travellers to break their journey."
"836","Raymond Island","VIC","Raymond Island (Gunai/Kurnai language: Bunjil-baul)[2] is a small island in the Gippsland Lakes in eastern Victoria, Australia, about 300 km (190 mi) from Melbourne. The island is approximately 6 km (3.7 mi) long by 2 km (1.2 mi) wide, and is just 200 m (660 ft) off the coast, across from the town of Paynesville. The island is named after William Odell Raymond,[3] originally a magistrate from New South Wales who established himself as a squatter in Gippsland in the 1840s.[4]"
"837","Merrijig","VIC","Merrijig is a town in Victoria, Australia, located between Mount Buller and Mansfield. At the 2011 census, Merrijig and the surrounding area had a population of 705.[1]"
"838","Harrietville","VIC","Harrietville is a town in Victoria, Australia, located on the Great Alpine Road, in the Alpine Shire. At the 2011 census, Harrietville and the surrounding area had a population of 402.[1]"
"839","Smoko","VIC","Smoko is a locality in north east Victoria, Australia. The locality is in the Alpine Shire local government area, 337 kilometres (209 mi) north east of the state capital, Melbourne. The town ""gained its name in the 1850s because gold seekers regularly stopped here for a smoke and a rest on their way to and from the goldfields"". [2] It is, indeed, the perfect place for a quick smoko on the way to skiing at higher altitudes up the valley."
"840","Highton","VIC","Highton is a residential suburb of Geelong, Victoria, Australia. It is known for its location along the Barwon River and scenic hills. The Barwon River straddles Highton to the north and east, while it is bordered by the hilly Ceres and Wandana Heights to the west, the former (and now underground) Kardinia Creek seperates the suburb from Belmont to the south-east, and the Princes Highway and Pigdons Road to the south separate the suburb from Waurn Ponds."
"841","Williamstown","VIC","Williamstown is a suburb of Melbourne, Victoria, Australia, 9 km south-west of Melbourne's central business district in the local government area of the City of Hobsons Bay."
"842","Tawonga","VIC","Tawonga is a town in northeast Victoria, Australia. The town is on the Kiewa Valley Highway, in the Alpine Shire local government area, 350 kilometres northeast of the state capital, Melbourne. At the 2011 census, Tawonga had a population of 588.[2]"
"843","Sunshine","VIC","Sunshine is a suburb of Melbourne, Australia, lying 11 to 13 km west of the CBD, located within the City of Brimbank local government area. Sunshine recorded a population of 9,768 at the 2016 census."
"844","Dunnstown","VIC","Dunnstown is a town in Victoria, Australia. The town is located in the Shire of Moorabool, 108 kilometres (67 mi) west of the state capital, Melbourne on the flats below Mount Warrenheip and approximately 12 kilometres (7.5 mi) east of Ballarat. At the 2016 census, Dunnstown and the surrounding area had a population of 244.[1]"
"845","Parkville","VIC","Parkville is an inner suburb of Melbourne, Victoria, Australia, 3 km north of Melbourne's Central Business District. Its local government areas are the Cities of Melbourne and Moreland.[2] At the 2016 Census, Parkville had a population of 7,409."
"846","Hazelwood","VIC","Hazelwood is an area of Gippsland at the foot of the Strzelecki Ranges in Victoria, Australia. In the beginning the area acted as a service centre for the Hazelwood Power Station. Following the death of Sir Winston Churchill the town centre was renamed to Churchill, however many of the surrounding areas continue to carry the name Hazelwood."
"847","Toorak","VIC","Toorak is an affluent inner suburb of Melbourne, Victoria, Australia, 5 km south-east of Melbourne's Central Business District, located within the City of Stonnington local government area. Toorak recorded a population of 12,909 at the 2016 Census."
"848","Kennington","VIC","Kennington is a suburb of Bendigo, a city in Victoria, Australia. The suburb is located 3 kilometres (2 mi) south-east of the Bendigo city centre and at the 2011 census had a population of 5,830.[1] The suburb is home to the Kennington Reservoir.[2]"
"849","Portarlington","VIC","Portarlington is a historic coastal township located on the Bellarine Peninsula, 28 km from the city of Geelong, in the state of Victoria, Australia. The gently rising hills behind the town feature vineyards and olive groves, overlooking Port Phillip Bay. Portarlington is a popular family holiday destination and a centre of fishing and aquaculture (mussels). At one time the town claimed the largest Fur Seal in the Southern Hemisphere, although the size of that beast has reduced considerably in recent decades. Portarlington also has a large number of Maltese, Croatian, Italian and Islander immigrants."
